X,Y,Path_curvature,Xin,Yin,Xout,Yout,Inner BoundryD,Width
-316.212629,-119.5116092,-0.040351626,-313.2468136,-126.3374195,-317.2318956,-117.1657719,7.442294526,10
-316.3179644,-119.5915122,-0.040382205,-313.3782817,-126.394242,-317.3450759,-117.21467,7.410726519,10
-316.4105826,-119.6614921,-0.040160189,-313.546691,-126.465373,-317.426225,-117.2485832,7.382050584,10
-316.5192134,-119.7430587,-0.039914606,-313.6786274,-126.5206757,-317.5439956,-117.2979359,7.348810866,10
-316.6120098,-119.8122563,-0.039602459,-313.8439437,-126.5884291,-317.6255851,-117.3310435,7.319747777,10
-316.7198978,-119.8924074,-0.039286393,-313.9799099,-126.643625,-317.7405061,-117.3776704,7.286046457,10
-316.8164955,-119.9637978,-0.038977602,-314.1390332,-126.7069611,-317.8293982,-117.4128121,7.255277793,10
-316.9226104,-120.0418015,-0.038372716,-314.2817031,-126.7630534,-317.9387253,-117.4557342,7.221469271,10
-317.0228538,-120.1151275,-0.037286209,-314.4347105,-126.8221963,-318.0348007,-117.4927081,7.18910687,10
-317.127607,-120.1914591,-0.034242986,-314.5829732,-126.878672,-318.1394162,-117.5324582,7.154996745,10
-317.2316043,-120.2667899,-0.029387211,-314.7291214,-126.9335853,-318.243353,-117.5714181,7.1209959,10
-317.337231,-120.342827,-0.023738925,-314.8766335,-126.9882579,-318.3489417,-117.6104609,7.086345417,10
-317.44585,-120.4206882,-0.017733058,-315.013763,-127.0386684,-318.4631776,-117.6524264,7.050723997,10
-317.5542439,-120.4980335,-0.011681418,-315.1557575,-127.0903581,-318.5747965,-117.6930089,7.015089501,10
-317.6666151,-120.5777284,-0.005646109,-315.2863817,-127.1377557,-318.6971909,-117.7374163,6.978500512,10
-317.7791323,-120.657037,-0.00050577,-315.4192527,-127.1857871,-318.8185967,-117.7812957,6.942161756,10
-317.8937991,-120.7374979,0.004173738,-315.5464166,-127.2317512,-318.9457248,-117.8272468,6.90547108,10
-318.0105952,-120.8189579,0.004469969,-315.6695645,-127.2763987,-319.0778259,-117.8751353,6.868694724,10
-318.1266625,-120.8992625,0.004416812,-315.7960466,-127.3222933,-319.2069724,-117.9219963,6.832795604,10
-318.2442685,-120.9802632,0.003260188,-315.9202145,-127.3674752,-319.3395051,-117.9702176,6.796889303,10
-318.3613569,-121.060371,0.00210027,-316.047653,-127.4138836,-319.4694404,-118.0175348,6.761682323,10
-318.4792693,-121.1404467,0.000935164,-316.1750972,-127.4603488,-319.6004384,-118.065295,6.726839674,10
-318.5972647,-121.2201371,-0.000113305,-316.3044536,-127.5075211,-319.7304474,-118.1127051,6.692397148,10
-318.7158295,-121.299722,-0.001082907,-316.4344245,-127.5549242,-319.8608551,-118.1602676,6.658255243,10
-318.8346312,-121.3789069,-0.001275503,-316.5663632,-127.6030072,-319.9904042,-118.2074794,6.62453507,10
-318.9542756,-121.4581427,-0.001258327,-316.6978984,-127.6509328,-320.1212962,-118.2551706,6.591045973,10
-319.0742345,-121.5371169,-0.000941447,-316.8311418,-127.6994339,-320.2516028,-118.3026021,6.557866635,10
-319.1951688,-121.6162171,-0.000621982,-316.9635916,-127.74764,-320.3836872,-118.3506752,6.524897143,10
